State,Area_Name,Age,Total_Population,Total_Males,Total_Females,Rural_Persons  ,Rural_Males,Rural_Females,Urban_Persons  ,Urban_Males,Urban_Females,Age_Category,Gender_Ratio,Urban_Percentage,Rural_Percentage
28,State - ANDHRA PRADESH (28),36,1141573,561081,580492,729099,353759,375340,412474,207322,205152,Age-wise,103.4595718,36.1320739,63.8679261
28,State - ANDHRA PRADESH (28),37,810906,406946,403960,487053,241349,245704,323853,165597,158256,Age-wise,99.26624171,39.93718137,60.06281863
28,State - ANDHRA PRADESH (28),38,1242504,590501,652003,807835,376223,431612,434669,214278,220391,Age-wise,110.4152237,34.9833079,65.0166921
28,State - ANDHRA PRADESH (28),39,927645,466537,461108,576580,285281,291299,351065,181256,169809,Age-wise,98.83631952,37.84475742,62.15524258
28,State - ANDHRA PRADESH (28),40,2410551,1231998,1178553,1694584,864578,830006,715967,367420,348547,Age-wise,95.66192478,29.70138363,70.29861637
28,State - ANDHRA PRADESH (28),41,782781,417088,365693,468521,248216,220305,314260,168872,145388,Age-wise,87.67766035,40.1466055,59.8533945
28,State - ANDHRA PRADESH (28),42,892816,470480,422336,571413,297856,273557,321403,172624,148779,Age-wise,89.76704642,35.99879482,64.00120518
28,State - ANDHRA PRADESH (28),43,596313,307739,288574,359718,182451,177267,236595,125288,111307,Age-wise,93.77232005,39.67631093,60.32368907
28,State - ANDHRA PRADESH (28),44,717012,367093,349919,446665,226720,219945,270347,140373,129974,Age-wise,95.3216215,37.70466882,62.29533118
28,State - ANDHRA PRADESH (28),45,2029097,1023985,1005112,1424109,718292,705817,604988,305693,299295,Age-wise,98.1569066,29.81562735,70.18437265
28,State - ANDHRA PRADESH (28),46,756598,390938,365660,475971,243434,232537,280627,147504,133123,Age-wise,93.53401307,37.09063466,62.90936534
28,State - ANDHRA PRADESH (28),47,503130,263819,239311,294559,151388,143171,208571,112431,96140,Age-wise,90.71029759,41.45469362,58.54530638
28,State - ANDHRA PRADESH (28),48,768274,383753,384521,495620,242713,252907,272654,141040,131614,Age-wise,100.2001287,35.48916142,64.51083858
28,State - ANDHRA PRADESH (28),49,600170,312138,288032,377041,193767,183274,223129,118371,104758,Age-wise,92.27713383,37.177633,62.822367
